assists,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,66,True,True,100,100,2.0,0.76,206325.0,,,0.0,0.0,-2,2.0,26.5,342.0,112.0,,,0.0,2.0,0.9,0.4,1.0,0.08,0.03,0.14,0.05,0.06,1.82,0.69,0.02,Oleksandr,0.4,345.0,114.0,0.0,0.0,0.0,7.2,396.0,130.0,25.0,False,22.2,414.0,147.0,238,,2024-12-09T09:30:06.099861Z,48.0,295.0,32.0,0.0,0.0,,0,,206325.jpg,2.1,244.0,78.0,0.0,225.0,False,0.0,0.0,Zinchenko,0.9,213.0,82.0,False,,2.0,0.76,a,1,3.0,2022-07-22,23.0,321.0,107.0,17.0,90087.0,343.0,307585.0,760.0,0.1,3.5,Zinchenko,1.0
0,0,30,True,True,100,100,0.0,0.0,69752.0,,,0.0,0.0,-4,4.0,0.0,558.0,50.0,,,0.0,1.0,0.5,0.0,0.0,0.00,0.0,0.0,0.0,0.0,2.91,1.46,0.0,Norberto,0.0,497.0,60.0,2.0,1.0,0.0,7.8,391.0,32.0,73.0,False,77.8,345.0,32.0,180,,2024-10-05T17:30:06.760449Z,41.0,596.0,40.0,0.0,0.0,,0,,69752.jpg,3.5,79.0,12.0,0.0,30.0,False,11.0,5.5,Murara Neto,0.8,225.0,32.0,False,,2.0,1.0,a,1,3.0,2024-08-30,0.0,528.0,38.0,7.0,86582.0,277.0,244356.0,1115.0,0.0,1.7,Neto,0.0
1,0,28,True,True,100,100,0.0,0.0,103955.0,,,0.0,0.0,-3,3.0,42.2,306.0,180.0,3.0,,0.0,3.0,0.9,0.4,2.0,0.12,0.05,0.76,0.33,0.64,1.81,0.8,0.28,Raheem,0.4,355.0,177.0,2.0,0.88,0.0,14.9,354.0,174.0,186.0,False,35.0,394.0,181.0,204,,2024-12-21T21:30:08.006504Z,67.0,35.0,17.0,0.0,0.0,,0,,103955.jpg,1.6,332.0,148.0,0.0,241.0,False,0.0,0.0,Sterling,0.8,218.0,65.0,False,,3.0,1.32,a,1,3.0,2024-08-30,74.0,230.0,132.0,11.0,47975.0,431.0,154695.0,432.0,0.1,1.6,Sterling,0.0
1,1,104,True,True,75,75,1.0,0.13,466075.0,,,0.0,0.0,-2,2.0,80.1,246.0,63.0,,,1.0,2.0,1.3,0.9,0.0,0.55,0.07,1.12,0.14,0.57,7.8,1.0,0.07,Riccardo,1.2,249.0,81.0,10.0,1.28,1.0,39.9,223.0,69.0,578.0,False,196.0,219.0,83.0,704,Muscle injury - 75% chance of playing,2025-01-12T22:00:08.460074Z,58.0,89.0,8.0,0.0,0.0,,0,,466075.jpg,2.4,207.0,63.0,0.0,106.0,False,0.0,0.0,Calafiori,1.2,191.0,76.0,False,,8.0,1.02,d,1,3.0,2024-07-29,123.0,160.0,24.0,26.0,214573.0,115.0,382296.0,4585.0,0.2,4.5,Calafiori,3.0
0,0,66,True,True,100,100,2.0,0.55,499169.0,,,0.0,0.0,0,0.0,57.5,279.0,174.0,,,0.0,3.0,1.7,1.2,1.0,0.13,0.04,0.13,0.04,0.0,3.28,0.9,0.0,Myles,1.2,241.0,115.0,4.0,1.1,0.0,11.4,368.0,178.0,597.0,False,51.0,370.0,172.0,328,,2024-12-03T15:00:08.736469Z,45.0,419.0,258.0,0.0,0.0,,0,,499169.jpg,1.4,352.0,162.0,0.0,241.0,False,0.0,0.0,Lewis-Skelly,0.2,369.0,126.0,False,,4.0,1.1,a,1,3.0,2022-12-04,6.0,391.0,207.0,10.0,27365.0,4613.0,14768.0,1182.0,0.3,2.2,Lewis-Skelly,2.0
1,2,144,True,True,100,100,2.0,0.27,195384.0,,,0.0,0.0,0,0.0,117.3,197.0,125.0,,,0.0,3.0,3.5,3.0,1.0,0.66,0.09,2.72,0.37,2.06,6.08,0.83,0.28,Mikel,3.0,103.0,47.0,7.0,0.95,2.0,50.1,187.0,100.0,633.0,False,189.2,225.0,94.0,663,,2024-11-30T22:00:08.239353Z,60.0,75.0,49.0,0.0,0.0,,0,,195384.jpg,2.6,181.0,77.0,0.0,200.0,False,0.0,0.0,Merino,0.1,474.0,173.0,False,,7.0,0.95,a,1,3.0,2024-08-27,196.0,99.0,65.0,36.0,23900.0,233.0,20631.0,750.0,0.5,6.0,Merino,2.0
0,0,0,True,True,,,0.0,0.0,498046.0,,,0.0,0.0,0,0.0,0.0,636.0,268.0,,,0.0,3.0,0.5,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salah-Eddine,0.0,593.0,233.0,0.0,0.0,0.0,0.0,640.0,266.0,638.0,False,0.0,641.0,267.0,0,,,45.0,418.0,257.0,0.0,0.0,,0,,498046.jpg,0.0,647.0,270.0,0.0,152.0,False,0.0,0.0,Oulad M'hand,0.0,637.0,272.0,False,,0.0,0.0,a,1,3.0,2021-10-25,0.0,621.0,262.0,0.0,2141.0,26.0,1766.0,28.0,0.0,0.0,Oulad M'hand,0.0
0,0,0,True,True,,,0.0,0.0,551221.0,,,0.0,0.0,0,0.0,0.0,660.0,69.0,,,0.0,1.0,0.5,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy,0.0,620.0,72.0,0.0,0.0,0.0,0.0,665.0,75.0,639.0,False,0.0,666.0,75.0,0,,,45.0,450.0,19.0,0.0,0.0,,0,,551221.jpg,0.0,671.0,75.0,0.0,241.0,False,0.0,0.0,Setford,0.0,529.0,67.0,False,,0.0,0.0,a,1,3.0,2024-07-24,0.0,647.0,63.0,0.0,3492.0,65.0,3557.0,125.0,0.0,0.0,Setford,0.0
0,0,0,True,True,,,0.0,0.0,588793.0,,,0.0,0.0,0,0.0,0.0,544.0,216.0,,,0.0,2.0,0.5,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maldini,0.0,483.0,191.0,0.0,0.0,0.0,0.0,564.0,218.0,657.0,False,0.0,565.0,218.0,0,,,40.0,680.0,214.0,0.0,0.0,,0,,588793.jpg,0.0,571.0,218.0,0.0,2.0,False,0.0,0.0,Kacurri,0.1,485.0,176.0,False,,0.0,0.0,a,1,3.0,2024-09-14,0.0,512.0,206.0,0.0,10458.0,183.0,7663.0,169.0,0.0,0.0,Kacurri,0.0
0,0,0,True,True,,,0.0,0.0,606745.0,,,0.0,0.0,0,0.0,0.0,549.0,221.0,,,0.0,2.0,0.5,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ayden,0.0,488.0,196.0,0.0,0.0,0.0,0.0,569.0,223.0,658.0,False,0.0,570.0,223.0,0,,,40.0,686.0,220.0,0.0,0.0,,0,,606745.jpg,0.0,576.0,223.0,0.0,241.0,False,0.0,0.0,Heaven,0.1,520.0,187.0,False,,0.0,0.0,a,1,3.0,2024-02-20,0.0,518.0,212.0,0.0,6552.0,98.0,5229.0,96.0,0.0,0.0,Heaven,0.0
